NLI 'Étudiant s'inscrire' ↔ 'Étudiant soumettre demande d'internat' = entail1=0.922, entail2=0.982, → max=0.982
NLI 'Étudiant s'inscrire' ↔ 'Étudiant suivre les entreprises et les offres d'emploi' = entail1=0.005, entail2=0.262, → max=0.262
NLI 'Étudiant s'inscrire' ↔ 'Étudiant rechercher offres d'emploi' = entail1=0.003, entail2=0.009, → max=0.009
NLI 'Recruteur publier offre d'internat' ↔ 'Étudiant soumettre demande d'internat' = entail1=0.204, entail2=0.053, → max=0.204
NLI 'Recruteur publier offre d'internat' ↔ 'Recruteur recevoir demandes d'internat' = entail1=0.878, entail2=0.162, → max=0.878
NLI 'Recruteur publier offre d'internat' ↔ 'Étudiant rechercher offres en fonction de ses compétences' = entail1=0.007, entail2=0.107, → max=0.107
NLI 'Recruteur publier offre d'internat' ↔ 'Utilisateur postuler pour un emploi' = entail1=0.998, entail2=0.519, → max=0.998
NLI 'Recruteur publier offre d'internat' ↔ 'Étudiant suivre les entreprises et les offres d'emploi' = entail1=0.709, entail2=0.494, → max=0.709
NLI 'Recruteur publier offre d'internat' ↔ 'Étudiant rechercher offres d'emploi' = entail1=0.995, entail2=0.155, → max=0.995
NLI 'Administrateur gérer candidatures' ↔ 'Administrateur approuver/ rejeter candidature' = entail1=0.012, entail2=0.999, → max=0.999
NLI 'Administrateur gérer candidatures' ↔ 'Entreprise filtrer les candidatures' = entail1=0.171, entail2=0.995, → max=0.995
NLI 'Administrateur gérer candidatures' ↔ 'Administrateur gérer reclamations' = entail1=0.003, entail2=0.006, → max=0.006
NLI 'Étudiant soumettre demande d'internat' ↔ 'Recruteur recevoir demandes d'internat' = entail1=0.765, entail2=0.381, → max=0.765
NLI 'Étudiant soumettre demande d'internat' ↔ 'Étudiant rechercher offres en fonction de ses compétences' = entail1=0.002, entail2=0.010, → max=0.010
NLI 'Étudiant soumettre demande d'internat' ↔ 'Utilisateur postuler pour un emploi' = entail1=0.998, entail2=0.359, → max=0.998
NLI 'Étudiant soumettre demande d'internat' ↔ 'Étudiant suivre les entreprises et les offres d'emploi' = entail1=0.004, entail2=0.006, → max=0.006
NLI 'Étudiant soumettre demande d'internat' ↔ 'Étudiant rechercher offres d'emploi' = entail1=0.990, entail2=0.055, → max=0.990
NLI 'Étudiant soumettre demande d'internat' ↔ 'Étudiant appliquer à une offre' = entail1=0.996, entail2=0.025, → max=0.996
NLI 'Étudiant soumettre demande d'internat' ↔ 'Entreprise publier des offres' = entail1=0.048, entail2=0.007, → max=0.048
NLI 'Étudiant soumettre demande d'internat' ↔ 'Utilisateur voir contrat' = entail1=0.228, entail2=0.245, → max=0.245
NLI 'Étudiant soumettre demande d'internat' ↔ 'Utilisateur voir contrat avec filigrane' = entail1=0.332, entail2=0.428, → max=0.428
NLI 'Étudiant soumettre demande d'internat' ↔ 'Utilisateur rechercher contrats par ID et statut' = entail1=0.033, entail2=0.242, → max=0.242
NLI 'Étudiant soumettre demande d'internat' ↔ 'Étudiant trouver demandes d'internat dans un rayon géographique spécifique' = entail1=0.367, entail2=0.010, → max=0.367
NLI 'Étudiant soumettre demande d'internat' ↔ 'Utilisateur mettre à jour demande d'internat' = entail1=0.979, entail2=0.906, → max=0.979
NLI 'Étudiant soumettre demande d'internat' ↔ 'Utilisateur rechercher demande par champ' = entail1=0.676, entail2=0.189, → max=0.676
NLI 'Étudiant soumettre demande d'internat' ↔ 'Étudiant soumettre demande' = entail1=0.999, entail2=0.004, → max=0.999
NLI 'Recruteur recevoir demandes d'internat' ↔ 'Étudiant rechercher offres en fonction de ses compétences' = entail1=0.007, entail2=0.856, → max=0.856
NLI 'Recruteur recevoir demandes d'internat' ↔ 'Étudiant suivre les entreprises et les offres d'emploi' = entail1=0.694, entail2=0.855, → max=0.855
NLI 'Recruteur recevoir demandes d'internat' ↔ 'Utilisateur recevoir des recommandations professionnelles' = entail1=0.808, entail2=0.051, → max=0.808
NLI 'Recruteur recevoir demandes d'internat' ↔ 'Utilisateur voir contrat' = entail1=0.273, entail2=0.095, → max=0.273
NLI 'Recruteur recevoir demandes d'internat' ↔ 'Utilisateur rechercher contrats par ID et statut' = entail1=0.004, entail2=0.958, → max=0.958
NLI 'Recruteur recevoir demandes d'internat' ↔ 'Utilisateur mettre à jour demande d'internat' = entail1=0.882, entail2=0.787, → max=0.882
NLI 'Recruteur recevoir demandes d'internat' ↔ 'Utilisateur rechercher demande par champ' = entail1=0.369, entail2=0.093, → max=0.369
NLI 'Administrateur approuver/ rejeter candidature' ↔ 'Administrateur gérer reclamations' = entail1=0.022, entail2=0.039, → max=0.039
NLI 'Étudiant rechercher offres en fonction de ses compétences' ↔ 'Étudiant suivre les entreprises et les offres d'emploi' = entail1=0.024, entail2=0.000, → max=0.024
NLI 'Étudiant rechercher offres en fonction de ses compétences' ↔ 'Utilisateur recevoir des recommandations professionnelles' = entail1=0.977, entail2=0.045, → max=0.977
NLI 'Étudiant rechercher offres en fonction de ses compétences' ↔ 'Entreprise publier des offres' = entail1=0.118, entail2=0.024, → max=0.118
NLI 'Étudiant rechercher offres en fonction de ses compétences' ↔ 'Utilisateur rechercher contrats par ID et statut' = entail1=0.005, entail2=0.062, → max=0.062
NLI 'Étudiant rechercher offres en fonction de ses compétences' ↔ 'Étudiant voir évaluation demande' = entail1=0.493, entail2=0.004, → max=0.493
NLI 'Étudiant rechercher offres en fonction de ses compétences' ↔ 'Utilisateur créer offre' = entail1=0.785, entail2=0.014, → max=0.785
NLI 'Étudiant rechercher offres en fonction de ses compétences' ↔ 'Utilisateur supprimer offre' = entail1=0.003, entail2=0.015, → max=0.015
NLI 'Étudiant rechercher offres en fonction de ses compétences' ↔ 'Utilisateur récupérer mot de passe' = entail1=0.316, entail2=0.311, → max=0.316
NLI 'Étudiant rechercher offres en fonction de ses compétences' ↔ 'Utilisateur rechercher offre par mot-clé' = entail1=0.902, entail2=0.003, → max=0.902
NLI 'Étudiant suivre les entreprises et les offres d'emploi' ↔ 'Entreprise publier des offres' = entail1=0.998, entail2=0.241, → max=0.998
NLI 'Étudiant rechercher offres en fonction de ses compétences' ↔ 'Utilisateur recevoir authentification à deux facteurs' = entail1=0.485, entail2=0.008, → max=0.485
NLI 'Étudiant suivre les entreprises et les offres d'emploi' ↔ 'Utilisateur créer offre' = entail1=0.005, entail2=0.040, → max=0.040
NLI 'Étudiant suivre les entreprises et les offres d'emploi' ↔ 'Utilisateur mettre à jour demande d'internat' = entail1=0.977, entail2=0.298, → max=0.977
NLI 'Étudiant suivre les entreprises et les offres d'emploi' ↔ 'Utilisateur supprimer offre' = entail1=0.001, entail2=0.147, → max=0.147
NLI 'Étudiant suivre les entreprises et les offres d'emploi' ↔ 'Utilisateur récupérer mot de passe' = entail1=0.380, entail2=0.015, → max=0.380
